BDIR CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
23875.9 0.821351 4434.13 3603.5 4327.92 6177.77 38583.1 16127.9 18256.4 16376.5 12765.4
23775.7 0.823157 4442.75 3610.66 4336.36 6189.28 38686 16158.4 18291.6 16407.5 12789.7
23822.2 0.830565 4482.09 3642.74 4374.77 6243.73 38787.3 16181.3 18319.3 16430.9 12806.5
23819.4 0.835147 4505.09 3661.72 4397.27 6274.67 38875.8 16205.6 18347.8 16455.7 12825.5
23775.1 0.837756 4517.71 3672.21 4409.62 6291.34 38967.1 16230.1 18377.5 16480.8 12842.4
23780.5 0.838586 4522.14 3675.82 4413.95 6297.46 38984 16235 18383.5 16485.8 12845.7
23760.3 0.838502 4521.44 3675.3 4413.27 6296.32 39013.8 16244.5 18394.7 16495.5 12852.7
23679.1 0.836201 4508.72 3665 4400.86 6278.43 39052.3 16251 18403.6 16502.2 12855.8
23666.1 0.83592 4507.15 3663.74 4399.33 6276.23 39059 16250.7 18403.8 16502 12854.8
23640.9 0.835438 4504.29 3661.46 4396.55 6272.06 39069.7 16249 18403 16500.4 12852
23617.6 0.835006 4501.63 3659.35 4393.95 6268.11 39076.2 16246.1 18400.7 16497.6 12848.4
23592.9 0.834561 4498.8 3657.13 4391.21 6263.88 39087.1 16244.8 18400.2 16496.3 12845.9
23584.9 0.834379 4497.74 3656.28 4390.17 6262.32 39101.7 16250.5 18406.9 16502.2 12850.1
23582.6 0.833783 4494.98 3653.96 4387.47 6258.78 39113.2 16261.3 18418.4 16513.1 12859.5
23583.6 0.832856 4490.91 3650.5 4383.48 6253.75 39126.5 16277.8 18435.5 16529.6 12874.1
23596.3 0.832006 4487.57 3647.57 4380.18 6249.92 39142.1 16300.1 18458.5 16552.1 12894.7
23597.5 0.831335 4484.55 3645.01 4377.21 6246.11 39153.6 16316 18474.5 16568 12909.8
23601.6 0.831356 4484.73 3645.14 4377.38 6246.4 39162 16324.5 18483.2 16576.5 12918.1
23610.9 0.831801 4487.08 3647.07 4379.69 6249.66 39162.4 16326.1 18484.6 16578.1 12919.8
23630.4 0.832594 4491.38 3650.55 4383.88 6255.65 39160.7 16328.2 18486.4 16580.2 12922.5
23644.2 0.833195 4494.72 3653.25 4387.14 6260.37 39155.4 16328.2 18486 16580.1 12923.1
23637.9 0.833086 4494.11 3652.76 4386.54 6259.51 39147.6 16324.3 18481.6 16576.1 12919.9
23631.9 0.833042 4493.75 3652.49 4386.19 6258.92 39136 16318.9 18475.5 16570.6 12915.7
23609.4 0.832745 4491.77 3650.94 4384.27 6255.89 39116.2 16307.8 18463.4 16559.5 12906.4
23590.2 0.833553 4495.48 3654.07 4387.91 6260.61 39084.1 16283.1 18437.3 16534.5 12884.2
23525.7 0.833326 4492.9 3652.19 4385.42 6256.24 39056.4 16245.5 18398.8 16496.8 12849.3
23562.3 0.833453 4494.35 3653.25 4386.82 6258.7 39072.1 16266.9 18420.7 16518.3 12869.1
23585.8 0.835625 4505.62 3662.49 4397.84 6274.13 39066 16252.4 18406.1 16503.8 12855.7
23574.2 0.836337 4508.83 3665.19 4400.99 6278.25 39067.1 16243.1 18396.8 16494.5 12846.9
23592.2 0.837653 4515.65 3670.78 4407.64 6287.55 39072.1 16241 18394.9 16492.4 12844.8
23591.6 0.837714 4515.98 3671.05 4407.97 6288.02 39080.1 16244.8 18399.1 16496.2 12847.9
23580.9 0.83727 4513.83 3669.26 4405.86 6285.18 39095.5 16255.5 18410.7 16507 12856.9
23578.1 0.837019 4512.66 3668.28 4404.72 6283.67 39102.9 16261.2 18416.8 16512.8 12861.8
23574.7 0.836566 4510.43 3666.43 4402.54 6280.68 39116 16270.8 18427.1 16522.5 12870.1
23570.2 0.83643 4509.6 3665.78 4401.73 6279.45 39126.5 16276.9 18433.7 16528.7 12875.3
23568.2 0.836485 4509.82 3665.97 4401.95 6279.68 39141.8 16284.6 18442.2 16536.4 12881.7
23573.8 0.836526 4510.25 3666.28 4402.36 6280.42 39165.3 16295.1 18454 16547.1 12889.9
23573.4 0.836685 4511.37 3667.15 4403.45 6282.2 39190.5 16305.3 18465.8 16557.5 12897.6
23584.9 0.83696 4513.18 3668.56 4405.21 6284.96 39225.9 16321.3 18483.7 16573.7 12910.5
23586.9 0.837143 4514.05 3669.29 4406.06 6286.1 39280.7 16345.3 18510.5 16598 12930.1
23581.9 0.837494 4515.88 3670.78 4407.84 6288.57 39345.2 16375.5 18544.2 16628.7 12954.8
23572.2 0.836809 4512.37 3667.9 4404.41 6283.78 39425.5 16409.5 18582.8 16663.2 12981.5
23537 0.836944 4512.04 3667.82 4404.12 6282.56 39446.5 16412.6 18587 16666.4 12983.3
23524.7 0.837 4511.86 3667.76 4403.96 6281.98 39431.1 16402.5 18576.1 16656.2 12974.7
23528.4 0.837373 4513.87 3669.39 4405.92 6284.78 39362.9 16371.8 18541.6 16625 12949.9
23511.4 0.837158 4512.82 3668.51 4404.89 6283.46 39241.9 16312.3 18475.9 16564.8 12900.6
23494.5 0.837792 4514.53 3670.21 4406.61 6284.6 39050.3 16235.5 18387.7 16486.7 12842
23506.3 0.837341 4513.3 3669 4405.38 6283.76 39185.6 16289.7 18450 16541.9 12883.4
23497.5 0.837106 4511.98 3667.93 4404.09 6281.87 39120.2 16262.1 18418.9 16513.9 12861.3
23496.2 0.837094 4512.04 3667.96 4404.14 6282.03 39013 16218.7 18369.5 16469.8 12827.2
23486.2 0.836813 4510.61 3666.78 4402.74 6280.11 38970 16197.7 18346.2 16448.4 12809.8
23492.8 0.836998 4511.55 3667.55 4403.66 6281.37 38998.5 16211.6 18361.6 16462.5 12821.3
23494.6 0.837126 4512.09 3668.02 4404.19 6282.02 38998.3 16212.4 18362.3 16463.3 12822.3
23493.1 0.837055 4511.68 3667.69 4403.8 6281.43 39001.9 16213.8 18363.9 16464.8 12823.4
23478.7 0.836348 4507.63 3664.44 4399.84 6275.63 39037.9 16228.2 18380 16479.3 12835.2
23459.7 0.83439 4498.85 3656.98 4391.23 6264.74 39083.7 16243.9 18398.7 16495.4 12846.3
23474.5 0.835917 4505.69 3662.8 4397.95 6273.22 39047.9 16231.6 18384.1 16482.8 12837.7
23475 0.835994 4505.94 3663.03 4398.19 6273.45 39066.4 16239.6 18393 16490.9 12844.4
23474.5 0.836005 4506.05 3663.1 4398.29 6273.64 39084 16246.7 18401 16498.1 12849.9
23474.9 0.836158 4506.76 3663.7 4398.99 6274.56 39113.8 16259.1 18415 16510.7 12859.8
23470.6 0.836074 4506.32 3663.34 4398.56 6273.94 39112.9 16259.1 18415 16510.7 12859.9
23458.7 0.835635 4504.06 3661.49 4396.35 6270.85 39072.1 16243.8 18397.5 16495.2 12847.9
23426.7 0.834243 4496.74 3655.51 4389.2 6260.74 38903 16178 18322.5 16428.3 12796.2
23446 0.835067 4501.07 3659.05 4393.44 6266.73 39003.3 16217.1 18367 16468 12826.9
23436.4 0.835467 4502.74 3660.49 4395.08 6268.74 39006.3 16212.2 18362.4 16463.1 12822
23417.5 0.83591 4504.67 3662.14 4396.97 6271.09 39006.1 16206.1 18356.5 16457.1 12815.9
23382.8 0.836527 4507.26 3664.37 4399.53 6274.22 38993 16189.7 18339.7 16440.6 12800.4
23373.2 0.837137 4510.05 3666.72 4402.26 6277.76 38991.1 16182.1 18332.2 16433 12793.2
23379.9 0.83673 4508.13 3665.11 4400.38 6275.26 38992.3 16187.7 18337.7 16438.7 12798.8
23383.9 0.836918 4509.15 3665.94 4401.38 6276.7 38995.9 16187.7 18338 16438.6 12798.3
23381.6 0.8368 4508.49 3665.41 4400.73 6275.75 38993.7 16188 18338 16438.9 12798.9
23387 0.836744 4508.3 3665.24 4400.54 6275.57 38998.3 16191.6 18341.9 16442.6 12802.2
23392.1 0.83669 4508.12 3665.07 4400.37 6275.4 39002.7 16195.1 18345.5 16446.1 12805.2
23388.2 0.836731 4508.26 3665.2 4400.5 6275.53 38999.3 16192.4 18342.7 16443.4 12802.9
23387.4 0.83674 4508.29 3665.23 4400.53 6275.56 38998.6 16191.9 18342.1 16442.8 12802.4
23387.4 0.836741 4508.3 3665.23 4400.54 6275.57 38998.6 16191.9 18342.1 16442.8 12802.4
23387.3 0.836759 4508.38 3665.31 4400.62 6275.69 38999 16191.9 18342.1 16442.8 12802.3
23387.2 0.836781 4508.49 3665.39 4400.73 6275.82 38999 16191.6 18341.9 16442.6 12802.1
23386.9 0.836806 4508.61 3665.49 4400.84 6275.98 38998.8 16191.3 18341.6 16442.2 12801.7
23386.8 0.836795 4508.56 3665.45 4400.79 6275.92 38998.6 16191.3 18341.5 16442.2 12801.7
23386.8 0.836783 4508.5 3665.4 4400.73 6275.83 38998.6 16191.3 18341.6 16442.3 12801.8
23386.9 0.836774 4508.45 3665.36 4400.69 6275.78 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836776 4508.47 3665.37 4400.7 6275.79 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.7 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.84 38998.7 16191.4 18341.7 16442.4 12801.9
23386.9 0.836783 4508.5 3665.4 4400.74 6275.84 38998.7 16191.4 18341.7 16442.3 12801.9
23386.9 0.836784 4508.51 3665.41 4400.74 6275.85 38998.7 16191.4 18341.7 16442.3 12801.9
23386.9 0.836785 4508.51 3665.41 4400.75 6275.85 38998.7 16191.4 18341.6 16442.3 12801.8
23386.8 0.836785 4508.51 3665.41 4400.74 6275.85 38998.6 16191.3 18341.6 16442.3 12801.8
23386.8 0.836783 4508.5 3665.4 4400.74 6275.84 38998.6 16191.3 18341.6 16442.3 12801.8
23386.8 0.836781 4508.49 3665.39 4400.73 6275.82 38998.6 16191.3 18341.6 16442.3 12801.8
23386.8 0.836779 4508.48 3665.38 4400.72 6275.81 38998.6 16191.4 18341.6 16442.3 12801.8
23386.9 0.836779 4508.48 3665.38 4400.72 6275.81 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.83678 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23387 0.836779 4508.48 3665.38 4400.72 6275.81 38998.6 16191.5 18341.7 16442.4 12801.9
23386.8 0.836784 4508.5 3665.41 4400.74 6275.85 38998.6 16191.3 18341.6 16442.3 12801.8
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836782 4508.49 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836782 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23387.1 0.836773 4508.45 3665.36 4400.69 6275.78 38998.6 16191.6 18341.9 16442.5 12802.1
23386.7 0.836789 4508.53 3665.43 4400.77 6275.88 38998.6 16191.2 18341.5 16442.1 12801.6
23386.9 0.836781 4508.49 3665.39 4400.72 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836782 4508.5 3665.4 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23386.9 0.836782 4508.49 3665.39 4400.73 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
23386.9 0.836782 4508.49 3665.39 4400.73 6275.82 38998.6 16191.4 18341.7 16442.4 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.9
23386.9 0.836781 4508.49 3665.39 4400.73 6275.83 38998.6 16191.4 18341.7 16442.3 12801.8
