CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.0295526 756.648 955.192 1119.21 1242.57 7072.55 3437.65 2925.34 2574.79 2345.66
0.0295484 756.544 955.062 1119.06 1242.4 7072.66 3437.75 2925.44 2574.89 2345.75
0.0295458 756.484 954.989 1118.97 1242.31 7072.83 3437.9 2925.59 2575.03 2345.9
0.0295444 756.447 954.941 1118.92 1242.25 7072.75 3437.87 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.941 1118.92 1242.25 7072.74 3437.87 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.447 954.942 1118.92 1242.25 7072.74 3437.88 2925.57 2575.02 2345.88
0.0295445 756.449 954.944 1118.92 1242.25 7072.74 3437.85 2925.54 2574.99 2345.85
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.87 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295447 756.456 954.952 1118.93 1242.26 7072.81 3437.9 2925.58 2575.03 2345.89
0.0295442 756.441 954.933 1118.91 1242.24 7072.67 3437.83 2925.52 2574.98 2345.84
0.0295445 756.449 954.944 1118.92 1242.25 7072.75 3437.87 2925.56 2575.01 2345.87
0.0295444 756.447 954.942 1118.92 1242.25 7072.73 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.449 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.942 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295444 756.448 954.943 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
0.0295445 756.45 954.945 1118.92 1242.25 7072.74 3437.86 2925.55 2575 2345.87
