CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
0.0295289 1311.23 956.052 812.961 934.687 7600.21 2383.46 3128.79 3513.29 3182.58
0.0295289 1311.23 956.052 812.961 934.687 7600.21 2383.46 3128.79 3513.29 3182.58
0.0295289 1311.23 956.052 812.961 934.687 7600.21 2383.46 3128.79 3513.29 3182.58
0.0292543 1299.24 947.264 805.474 926.092 7593.56 2381.11 3125.83 3510.01 3179.57
0.0293883 1305.09 951.553 809.127 930.286 7596.82 2382.26 3127.28 3511.62 3181.05
0.0290601 1290.77 941.056 800.183 920.02 7594.65 2380.53 3125.44 3509.73 3179.19
0.02897 1286.83 938.167 797.722 917.195 7593.5 2379.51 3124.35 3508.62 3178.1
0.0288826 1282.98 935.353 795.327 914.444 7592.41 2378.17 3122.98 3507.24 3176.73
0.0289321 1285.16 936.945 796.682 916.001 7593.03 2378.93 3123.76 3508.03 3177.51
0.028829 1280.63 933.631 793.861 912.761 7591.16 2377.91 3122.59 3506.79 3176.33
0.0286626 1273.29 928.272 789.3 907.52 7587.25 2376.29 3120.63 3504.66 3174.35
0.0283664 1260.25 918.733 781.181 898.193 7578.44 2373.36 3116.88 3500.49 3170.54
0.0279813 1243.24 906.313 770.612 886.049 7561.2 2369.77 3111.53 3494.2 3165.06
0.0276632 1229.17 896.039 761.873 876.005 7534.99 2366.01 3104.94 3486.08 3158.26
0.0274412 1219.34 888.867 755.773 868.992 7500.8 2362.49 3097.65 3476.71 3150.68
0.0271056 1204.59 878.082 746.59 858.446 7450.98 2357.14 3086.79 3462.83 3139.41
0.0268252 1192.41 869.141 738.969 849.702 7394.53 2348.06 3071.63 3444.38 3123.79
0.0269742 1198.88 873.892 743.019 854.348 7424.62 2352.9 3079.71 3454.21 3132.11
0.0268541 1193.78 870.12 739.795 850.658 7386.14 2343.73 3066.55 3438.95 3118.66
0.0268392 1193.29 869.725 739.447 850.27 7348.2 2332.27 3051.3 3421.73 3103.14
0.0268427 1193.55 869.892 739.581 850.432 7295.48 2313.8 3027.75 3395.59 3079.22
0.0267721 1190.41 867.6 737.633 848.191 7261.51 2300.79 3011.53 3377.76 3062.77
0.0266795 1186.19 864.547 735.044 845.208 7242.66 2293.36 3002.35 3367.7 3053.47
0.0266308 1184.01 862.961 733.696 843.657 7239.43 2292.12 3000.82 3366.02 3051.92
0.0265424 1180.03 860.072 731.244 840.833 7235.43 2290.79 2999.11 3364.13 3050.19
0.0265236 1179.17 859.447 730.714 840.222 7234.8 2290.64 2998.9 3363.89 3049.97
0.0265081 1178.44 858.925 730.274 839.713 7234.24 2290.54 2998.75 3363.71 3049.82
0.0265003 1178.05 858.65 730.043 839.445 7233.76 2290.47 2998.63 3363.57 3049.7
0.026493 1177.69 858.399 729.832 839.199 7233.31 2290.36 2998.49 3363.4 3049.55
0.026482 1177.16 858.022 729.515 838.832 7232.65 2290.17 2998.25 3363.13 3049.3
0.0264636 1176.34 857.428 729.01 838.251 7231.9 2289.91 2997.92 3362.77 3048.97
0.0264601 1176.3 857.37 728.952 838.193 7231.55 2289.77 2997.73 3362.56 3048.78
0.0264757 1177.24 857.995 729.466 838.801 7231.97 2289.92 2997.87 3362.69 3048.92
0.0264703 1177.38 858.003 729.445 838.804 7233.27 2290.43 2998.42 3363.26 3049.47
0.0264275 1175.82 856.785 728.383 837.608 7234.11 2291.13 2999.1 3363.92 3050.15
0.0263157 1171.03 853.252 725.366 834.152 7234.48 2292.02 2999.96 3364.75 3051
0.0262364 1167.54 850.699 723.193 831.655 7235.23 2292.69 3000.68 3365.49 3051.72
0.0261736 1164.7 848.637 721.444 829.64 7237.34 2293.44 3001.66 3366.58 3052.72
0.0261391 1162.97 847.425 720.428 828.458 7242.01 2294.21 3002.99 3368.22 3054.09
0.0261837 1164.42 848.613 721.476 829.626 7247.27 2293.83 3003.39 3369.05 3054.55
0.026153 1163.39 847.777 720.741 828.804 7243.96 2294.07 3003.14 3368.52 3054.26
0.0262173 1165.99 849.734 722.425 830.721 7246.94 2295.02 3004.36 3369.9 3055.5
0.0261538 1163.41 847.799 720.761 828.827 7244.09 2294.11 3003.19 3368.58 3054.32
