Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
124028 0.0443748 681.283 2294.78 1625.48 1373.03 5119.32 3864.75 2550.9 2950.62 3143.02
159404 0.0544179 835.033 2810.02 1991.09 1682.11 7485.98 5608.66 3654.5 4247.22 4533.17
129009 0.045875 704.206 2371.15 1679.82 1419.01 5460.31 4116.91 2711.43 3138.81 3344.6
128622 0.0444147 681.93 2297.65 1627.25 1374.47 5891.17 4440.66 2922.59 3384.14 3606.42
130962 0.0445847 684.742 2309.03 1634.71 1380.59 6202.04 4675.15 3076.95 3562.86 3796.87
139609 0.0467276 717.889 2423.05 1714.72 1447.95 6752.95 5089.43 3348.72 3877.92 4132.79
152961 0.0492739 757.545 2562.06 1811.46 1529.16 7856.73 5918.94 3892.01 4508.12 4804.88
172772 0.050418 776.758 2642.48 1863.46 1571.61 10425.2 7853.53 5162.76 5980.6 6374.56
192337 0.0513353 792.353 2709.83 1906.43 1606.53 17357.5 13067.6 8568.39 9935.34 10594.1
162374 0.0533994 820.643 2772.72 1961.22 1655.84 33499 25251.8 16548.2 19193.2 20467.8
147640 0.0532914 817.72 2750.57 1949.45 1647.04 43031.2 32478 21316.3 24709.8 26344.7
99238.6 0.0356276 545.964 1830.18 1299.06 1098.13 53226.9 40175.3 26357.2 30558.2 32582.3
130879 0.047398 727.003 2442.87 1732.16 1463.7 45724.1 34511.9 22648.6 26255.4 27993.1
116167 0.0429932 658.859 2208.78 1567.74 1325.24 47619.3 35879.3 23473 27242.2 29059.1
113778 0.0425774 652.411 2186.39 1552.1 1312.09 48114.2 36262.1 23733.2 27540 29375
111932 0.042193 646.444 2165.62 1537.61 1299.91 48722.4 36737.5 24061.7 27913.9 29770.5
112246 0.0422578 647.409 2168.61 1539.81 1301.79 49378.3 37230.9 24382.2 28286.9 30168.8
112246 0.0417481 639.819 2145.21 1522.56 1287.02 50418.6 38027.3 24915.3 28900.5 30821
114337 0.0413862 634.626 2131.19 1511.53 1277.38 52135.9 39335.7 25784.9 29904.1 31889
131287 0.051898 795.62 2670.01 1894.25 1600.99 54311.2 40882.7 26694.2 31003.3 33081.1
117380 0.0514032 787.766 2641.9 1874.76 1584.68 56695.5 42566.8 27667.7 32187.9 34369.2
79665.2 0.0415804 637.67 2142.72 1519.21 1283.75 58079.9 43632 28382.5 33010.1 35242.9
77911.9 0.0435997 668.484 2244.73 1592.03 1345.43 58117.4 43658.1 28396.6 33027.7 35262.2
73016.4 0.0440608 675.276 2265.18 1607.24 1358.5 57950.4 43489.6 28238.2 32864.5 35097.3
58440.8 0.0387826 594.814 1999.44 1417.36 1197.62 57146 42869.7 27815.6 32381.4 34585.3
68460.5 0.052548 805.137 2698.61 1915.49 1619.25 55427.4 41597.3 27009.5 31434.7 33570.4
86748.9 0.0806332 1234.09 4123.4 2930.9 2478.84 52742.2 39541.1 25632.2 29850.3 31886.4
34176.5 0.0327814 507.838 1755.26 1229.01 1033.97 49230.2 36621.2 23415.1 27408.5 29340.3
34395.7 0.0281617 436.601 1512.35 1057.89 889.698 48048.6 35684.3 22747.3 26657 28549.2
44999.2 0.0300449 464.753 1599.91 1122.21 944.707 47048.9 35099.9 22553.1 26351.8 28187.7
83429 0.0478736 741.953 2566.7 1796.56 1511.24 46080.5 34392.9 22134.8 25847.2 27640.9
130968 0.0574296 894.873 3140.4 2184.46 1833.42 44621.8 33321.2 21491.7 25075.4 26806.3
60789.9 0.02545 395.865 1383.15 963.902 809.558 41629.6 30882.1 19678 23063 24701.4
46967.9 0.0195118 300.307 1020.3 719.741 607.144 39749.1 29591.9 19008.8 22210.4 23758.3
37921.3 0.0220747 339.514 1151 812.752 685.838 37920.3 28178.3 18126.6 21165.9 22635.3
6823.25 0.00471526 71.6887 235.898 168.721 143.04 37489.5 27407.6 16986.2 20115.4 21637.2
34618.9 0.0206515 317.421 1074.31 759.142 640.767 37883 28138.7 18073.6 21116.2 22587.5
29860.3 0.0171851 263.856 890.523 630.031 532.021 37752.3 28030.5 17955.5 20999.9 22472.8
28976 0.0179886 275.301 920.705 654.045 553.087 37696.2 28019.6 17952.2 20995 22467.1
26391.5 0.0173505 265.209 883.902 628.863 532.079 37382.4 27793.5 17792 20814.8 22277.4
27054.8 0.019159 292.772 974.8 693.867 587.168 37035 27586 17702.5 20692 22137.7
