Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
5194.7 0.0116368 197.916 318.029 373.938 520.246 8894.27 6007.18 4967.04 4585.93 3796.47
5188.78 0.0116368 197.916 318.029 373.938 520.246 8894.27 6007.18 4967.04 4585.93 3796.47
5129.94 0.0116368 197.916 318.029 373.938 520.246 8894.27 6007.18 4967.04 4585.93 3796.47
5124.04 0.0117701 200.138 321.55 378.05 525.861 8904.47 6016.16 4975.48 4594.15 3804.17
5128.57 0.0116657 198.397 318.792 374.829 521.462 8896.5 6009.14 4968.88 4587.73 3798.16
5165.63 0.0117486 199.787 321.003 377.415 525.012 8897.41 6011.96 4972.29 4591.33 3802.08
5171.25 0.0117647 200.059 321.439 377.927 525.72 8897.76 6012.76 4973.24 4592.32 3803.15
5182 0.0118001 200.663 322.41 379.07 527.314 8898.63 6013.4 4973.84 4592.91 3803.71
5195.2 0.0118475 201.475 323.721 380.615 529.477 8900.49 6014.14 4974.29 4593.27 3803.88
5203.4 0.0118871 202.157 324.827 381.921 531.314 8902.3 6013.87 4973.45 4592.24 3802.5
5215.57 0.0119053 202.464 325.319 382.498 532.113 8904.8 6013.94 4972.79 4591.33 3801.12
5219.09 0.0118789 202.005 324.568 381.609 530.852 8904.85 6012.43 4970.76 4589.13 3798.6
5204.79 0.0118184 200.964 322.885 379.623 528.065 8904.94 6011.95 4969.99 4588.25 3797.51
5180.37 0.0117417 199.643 320.742 377.093 524.504 8904.67 6010.47 4967.89 4585.93 3794.77
5183.55 0.011748 199.725 320.849 377.203 524.599 8905.32 6008.18 4964.43 4582.05 3790.12
5187.43 0.011771 200.115 321.472 377.935 525.61 8905.62 6007.34 4963.18 4580.66 3788.47
5203.59 0.0118452 201.383 323.517 380.342 528.973 8907.41 6007.03 4962.2 4579.46 3786.86
5228.4 0.0119414 203.035 326.189 383.495 533.396 8910.26 6008.02 4962.73 4579.84 3786.95
5229.15 0.011955 203.275 326.582 383.961 534.062 8911.14 6008.46 4963.08 4580.17 3787.23
5234.84 0.0119762 203.642 327.181 384.67 535.067 8913.21 6009.69 4964.16 4581.21 3788.19
5242.21 0.0119949 203.965 327.704 385.288 535.939 8915.39 6010.92 4965.26 4582.26 3789.18
5241.85 0.0119963 203.99 327.746 385.339 536.014 8916.06 6011.26 4965.54 4582.52 3789.4
5240.53 0.0119972 204.008 327.777 385.375 536.067 8917.19 6011.55 4965.6 4582.52 3789.26
5239.33 0.0119959 203.984 327.738 385.33 536.004 8918.21 6011.85 4965.69 4582.53 3789.15
5240.5 0.0119953 203.972 327.715 385.301 535.958 8919.63 6012.39 4965.93 4582.68 3789.12
5237.51 0.0119866 203.822 327.472 385.014 535.552 8922.04 6013.5 4966.62 4583.22 3789.39
