Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
21871.1 0.154307 5608.3 7362.5 5344.57 4555.41 44765 18113.1 14401.3 18773.8 20953.5
21870 0.154302 5608.15 7362.29 5344.42 4555.29 44764.1 18112.7 14401 18773.4 20953
21871.1 0.154307 5608.3 7362.5 5344.57 4555.41 44765 18113.1 14401.3 18773.8 20953.5
21872.5 0.154316 5608.62 7362.91 5344.87 4555.67 44765.5 18113.3 14401.5 18774 20953.7
21871.5 0.154309 5608.38 7362.59 5344.64 4555.47 44765.1 18113.2 14401.4 18773.9 20953.5
21872 0.154313 5608.53 7362.79 5344.78 4555.6 44765.2 18113.2 14401.4 18773.9 20953.5
21872.8 0.154319 5608.76 7363.09 5345 4555.78 44765.3 18113.2 14401.4 18773.9 20953.6
21873.6 0.154327 5609.02 7363.43 5345.25 4556 44765.4 18113.2 14401.4 18773.9 20953.5
21874.5 0.154337 5609.4 7363.93 5345.61 4556.31 44765.5 18113.1 14401.3 18773.8 20953.5
21875.6 0.154351 5609.89 7364.56 5346.07 4556.7 44765.8 18113 14401.1 18773.7 20953.4
21876.7 0.154366 5610.45 7365.29 5346.61 4557.16 44766.1 18112.8 14400.9 18773.6 20953.3
21876.9 0.154378 5610.85 7365.82 5346.99 4557.49 44766.5 18112.7 14400.7 18773.4 20953.2
21876.3 0.154386 5611.14 7366.19 5347.27 4557.72 44767.1 18112.5 14400.5 18773.3 20953.1
21874.7 0.154388 5611.21 7366.29 5347.34 4557.78 44767.9 18112.5 14400.4 18773.3 20953.1
21872.3 0.154387 5611.17 7366.24 5347.3 4557.75 44769.1 18112.6 14400.4 18773.4 20953.3
21869.4 0.154383 5611.01 7366.02 5347.15 4557.62 44770.3 18112.9 14400.6 18773.7 20953.7
21866.8 0.15438 5610.91 7365.87 5347.05 4557.54 44771.4 18113.2 14400.8 18774.1 20954.1
21864.8 0.154389 5611.19 7366.24 5347.32 4557.78 44772.9 18113.6 14401.1 18774.5 20954.6
21864.1 0.154411 5611.95 7367.22 5348.05 4558.4 44774.9 18114.1 14401.4 18775 20955.2
21864.2 0.154441 5613.01 7368.6 5349.06 4559.26 44777.2 18114.7 14401.8 18775.6 20956
21864.3 0.154479 5614.39 7370.39 5350.37 4560.39 44780.3 18115.5 14402.3 18776.5 20957
21864.5 0.154514 5615.65 7372.05 5351.58 4561.42 44783.3 18116.4 14403 18777.4 20958.1
21867 0.154554 5617.1 7373.95 5352.96 4562.59 44785.9 18117.3 14403.7 18778.4 20959.2
21870.8 0.154605 5618.95 7376.38 5354.72 4564.1 44789 18118.5 14404.6 18779.6 20960.6
21872.6 0.154633 5619.98 7377.73 5355.7 4564.93 44791.4 18119.3 14405.3 18780.5 20961.6
21873.2 0.154648 5620.54 7378.47 5356.24 4565.38 44794 18120.2 14405.9 18781.4 20962.6
21873.6 0.154655 5620.79 7378.8 5356.47 4565.58 44796.5 18121.1 14406.6 18782.3 20963.7
21874.2 0.15466 5620.97 7379.04 5356.64 4565.73 44800.2 18122.3 14407.5 18783.6 20965.1
21874.2 0.154657 5620.88 7378.93 5356.56 4565.66 44806.2 18124.1 14408.8 18785.5 20967.4
21874.2 0.154651 5620.64 7378.61 5356.33 4565.46 44815.7 18127.2 14411 18788.7 20971
21875.3 0.154649 5620.55 7378.49 5356.25 4565.39 44827.8 18131.1 14414 18792.9 20975.8
21877.7 0.154658 5620.86 7378.88 5356.54 4565.65 44839 18135.3 14417.2 18797.1 20980.7
21882.9 0.154682 5621.71 7379.98 5357.35 4566.34 44848.1 18138.8 14419.9 18800.8 20984.7
21886.7 0.154692 5622.03 7380.37 5357.66 4566.6 44856.8 18142.1 14422.6 18804.3 20988.7
21887.6 0.154688 5621.85 7380.13 5357.49 4566.47 44862 18144.2 14424.2 18806.4 20991.1
21889.9 0.154697 5622.16 7380.52 5357.79 4566.73 44866.6 18145.9 14425.5 18808.2 20993.1
21889.4 0.15469 5621.86 7380.1 5357.5 4566.48 44870.8 18147.4 14426.6 18809.7 20994.8
21887.3 0.154671 5621.13 7379.14 5356.81 4565.9 44874.7 18148.7 14427.6 18811.1 20996.4
21885 0.154649 5620.35 7378.1 5356.06 4565.27 44879.7 18150.4 14428.8 18812.9 20998.5
21880.5 0.154622 5619.37 7376.83 5355.13 4564.47 44887.1 18153.2 14431 18815.8 21001.8
21880.8 0.154631 5619.73 7377.32 5355.47 4564.75 44898.1 18157.6 14434.4 18820.3 21006.9
21879.8 0.154652 5620.59 7378.5 5356.29 4565.43 44914.2 18164.1 14439.6 18827.1 21014.5
21886.6 0.154755 5624.47 7383.67 5359.98 4568.56 44940.8 18174.9 14448 18838.3 21026.9
21899.9 0.154919 5630.59 7391.79 5365.8 4573.51 44987.3 18194.1 14463.3 18858.3 21049.2
21892.2 0.154957 5632.19 7393.99 5367.31 4574.76 45048.5 18219.9 14483.8 18884.9 21078.9
21897 0.155049 5635.51 7398.34 5370.48 4577.47 45092.8 18237.7 14497.9 18903.5 21099.6
21869.4 0.154895 5629.91 7391 5365.14 4572.92 45119.3 18247.3 14505.1 18913.4 21111
21861.9 0.154845 5628.04 7388.51 5363.36 4571.41 45127.4 18249.4 14506.5 18915.7 21113.7
21852 0.154776 5625.49 7385.15 5360.93 4569.34 45131.4 18250 14506.6 18916.3 21114.6
21846.9 0.154731 5623.8 7382.9 5359.33 4567.98 45132.6 18249.4 14505.9 18915.8 21114.2
21845 0.15471 5622.98 7381.79 5358.55 4567.33 45132.6 18248 14504.5 18914.4 21112.8
21852.5 0.154761 5624.75 7384.07 5360.24 4568.78 45131.1 18246.3 14502.9 18912.7 21111.1
21857.4 0.15479 5625.76 7385.37 5361.2 4569.61 45129.2 18244.8 14501.6 18911.2 21109.5
21862.1 0.154816 5626.7 7386.62 5362.1 4570.37 45126 18242.6 14499.6 18908.9 21107.1
21867.6 0.154847 5627.91 7388.24 5363.25 4571.34 45122.5 18239.9 14497.3 18906.2 21104.3
21863.6 0.154809 5626.65 7386.65 5362.04 4570.29 45118.2 18236.6 14494.2 18902.8 21100.7
21861 0.154776 5625.5 7385.17 5360.95 4569.35 45116.1 18234.9 14492.8 18901.1 21098.9
21862.3 0.154792 5626.07 7385.9 5361.48 4569.81 45117.1 18235.7 14493.5 18901.9 21099.8
21860.7 0.154777 5625.52 7385.18 5360.96 4569.37 45116.1 18234.7 14492.6 18900.9 21098.8
21861.1 0.154779 5625.56 7385.23 5361 4569.4 45116.1 18234.6 14492.5 18900.8 21098.6
21860.3 0.154772 5625.29 7384.88 5360.75 4569.19 45116 18234.5 14492.4 18900.7 21098.6
21861.2 0.154776 5625.42 7385.04 5360.87 4569.3 45116.1 18234.5 14492.4 18900.7 21098.5
21861.4 0.154774 5625.34 7384.92 5360.8 4569.23 45116.6 18234.6 14492.5 18900.9 21098.7
21861.1 0.154772 5625.27 7384.83 5360.73 4569.18 45116.9 18234.7 14492.5 18900.9 21098.8
21860.9 0.154772 5625.3 7384.87 5360.75 4569.2 45117.3 18234.8 14492.6 18901 21098.9
21860.7 0.154772 5625.29 7384.86 5360.75 4569.19 45117.8 18235 14492.7 18901.2 21099.1
21860.8 0.154774 5625.34 7384.93 5360.8 4569.24 45118.6 18235.3 14493 18901.6 21099.5
21861.3 0.154779 5625.52 7385.15 5360.96 4569.38 45119.9 18235.9 14493.4 18902.2 21100.2
21861.5 0.154783 5625.68 7385.37 5361.12 4569.51 45122.1 18236.9 14494.2 18903.2 21101.3
21862.1 0.154794 5626.07 7385.88 5361.49 4569.83 45125.6 18238.4 14495.4 18904.7 21103
21862.6 0.154809 5626.64 7386.64 5362.03 4570.28 45131.5 18240.9 14497.5 18907.3 21105.9
21863.1 0.154829 5627.44 7387.71 5362.79 4570.93 45141 18244.9 14500.7 18911.4 21110.5
21868.1 0.154892 5629.7 7390.69 5364.95 4572.76 45154.3 18250.7 14505.5 18917.5 21117.1
21872.2 0.154945 5631.64 7393.21 5366.79 4574.34 45169.9 18257.8 14511.3 18924.8 21125.2
21874.4 0.154987 5633.11 7395.13 5368.2 4575.54 45187.7 18265.2 14517.2 18932.5 21133.7
21873.3 0.154992 5633.29 7395.37 5368.37 4575.69 45197.7 18269.2 14520.3 18936.6 21138.4
