Bcru CTP1 CTP2 CTP3 CTP4 CTP5 BDp1_fin BDp2_fin BDp3_fin BDp4_fin BDp5_fin
29077.2 0.00498275 2709.96 1898.33 1597.69 1027.72 56550.7 35542.2 39902.4 41816.6 46040.6
27556.5 0.00470677 2552.39 1789.67 1506.74 969.808 56473.2 35494.8 39850.2 41762.2 45980.8
26359.3 0.00463689 2505.44 1758.84 1481.4 954.215 56058.4 35230 39556 41454.9 45644.3
26858.1 0.00491495 2649.87 1861.58 1568.33 1010.67 55498 34856.6 39145 41027.4 45179.7
27892.2 0.00512925 2767.83 1943.9 1637.52 1055.06 55397.3 34773.5 39058.3 40939 45087.7
30931.8 0.00548085 2972.05 2083.98 1754.53 1129.3 55599.1 34874.9 39179.4 41068.9 45237.2
28988.6 0.00525963 2843.37 1995.75 1680.84 1082.57 55483.7 34816.7 39110 40994.5 45151.7
31568.8 0.00548149 2975.97 2085.9 1755.91 1129.91 55715.5 34950.2 39262.8 41155.8 45332
30056.2 0.00534993 2897.47 2032.5 1711.44 1101.85 55591.7 34878.7 39181.1 41069.6 45235.8
31648.2 0.00550225 2987.36 2093.85 1762.59 1134.2 55796.3 35002.7 39320.8 41216.2 45398
32409.1 0.00558577 3035.84 2127.1 1790.37 1151.83 55904.6 35068.7 39394.9 41293.9 45483.8
33082 0.00565359 3075.46 2154.22 1813.01 1166.18 56056.4 35160.2 39497.8 41402 45603.4
32953.4 0.00566658 3082.31 2159.06 1817.1 1168.82 56240.3 35272 39623.5 41533.8 45749.2
33025.3 0.00565772 3077.59 2155.74 1814.3 1167.01 56124.8 35201.5 39544.4 41450.9 45657.6
33245.5 0.00574557 3124.96 2189.02 1842.34 1185.08 56267.5 35291.3 39644.9 41556.2 45773.4
33106.6 0.0056913 3095.69 2168.46 1825.01 1173.92 56180.2 35236.4 39583.5 41491.8 45702.6
33239.3 0.00570514 3104.19 2174.19 1829.77 1176.9 56260.3 35286.2 39639.4 41550.4 45767.3
33602.8 0.00579042 3151.07 2206.91 1857.28 1194.56 56361.5 35344.7 39706.2 41620.9 45846.2
33651.2 0.00579251 3152.43 2207.81 1858.02 1195.01 56512 35426.9 39801 41721.6 45960.1
33839 0.00584937 3182.79 2229.19 1876.05 1206.66 56796.8 35561.8 39961.8 41894.5 46161.7
33732.6 0.00582686 3168.25 2219.46 1868.01 1201.67 57316.5 35616.4 40081.9 42048.3 46400.9
33791.9 0.00583458 3174.68 2223.51 1871.27 1203.59 56907 35591 40003.2 41942 46224.3
33824.9 0.00587424 3195.02 2238.02 1883.56 1211.6 57033.7 35592.3 40021.7 41969.5 46274.8
33752.2 0.00594549 3229.65 2263.17 1905 1225.71 57281.2 35533.8 40002.6 41971.5 46331.8
33093 0.00605731 3276.08 2298.82 1935.96 1246.77 57785 35346.9 39901.5 41916.9 46400.3
33550.9 0.00597901 3243.64 2273.89 1914.31 1232.04 57447 35493.7 39988.9 41971.9 46369.1
33373.8 0.00598489 3244.42 2274.98 1915.38 1232.92 57668.6 35598.2 40113.9 42106.5 46526.3
33314.4 0.0059779 3240.69 2272.35 1913.17 1231.49 57805.1 35696 40221 42217.5 46645.5
33450.4 0.00600268 3255.54 2282.45 1921.58 1236.79 58038 35889.8 40427.8 42429.2 46866.4
33673.2 0.00604285 3278.54 2298.31 1934.85 1245.24 58278 36083.8 40635.8 42642.6 47090.2
33838.9 0.0060667 3291.9 2307.58 1942.63 1250.21 58403 36182.6 40742.5 42752.4 47205.9
34118.4 0.00609285 3306.99 2317.96 1951.3 1255.72 58581.5 36314 40886.2 42901.2 47364.8
34715.7 0.00613206 3331.51 2334.41 1964.93 1264.23 58877.9 36516 41109.8 43134 47617.1
34441.4 0.00611394 3320.2 2326.82 1958.64 1260.3 58743.7 36424.4 41008.5 43028.5 47502.8
34670.4 0.00613117 3330.83 2333.98 1964.58 1264.02 58886.1 36513.7 41108.6 43133.4 47618.3
34532.3 0.00612076 3324.41 2329.65 1960.99 1261.78 58800.8 36460.2 41048.6 43070.5 47549.1
34545.4 0.00613154 3329.94 2333.6 1964.33 1263.95 58840 36486.5 41077.7 43100.8 47582
34524.9 0.00613578 3332.01 2335.11 1965.62 1264.8 58866.2 36510.6 41103.1 43126.7 47608.5
34635 0.00613837 3334.52 2336.61 1966.81 1265.48 58856.2 36510.3 41101.5 43124.3 47604.4
34579.8 0.00613695 3333.2 2335.81 1966.18 1265.11 58861.1 36510.4 41102.3 43125.5 47606.4
34626.1 0.00614016 3335.24 2337.18 1967.31 1265.81 58853.7 36504 41095.5 43118.5 47599.2
34700.6 0.00614487 3338.09 2339.1 1968.91 1266.82 58821.2 36479.5 41068.9 43091.1 47570
34777.4 0.00614803 3340.05 2340.42 1970 1267.51 58754.4 36429.9 41015 43035.4 47510.7
35609.5 0.0061852 3362.97 2355.83 1982.78 1275.52 58111.7 35950.8 40494.4 42497.7 46938
35153.1 0.00618817 3361.76 2355.6 1982.78 1275.74 57379 35393.4 39889.9 41874.2 46276.3
34461.3 0.00628096 3406.67 2388.29 2010.66 1294.11 56200 34492.4 38912.2 40865.7 45206.7
34218.3 0.00655451 3548.43 2489.08 2095.94 1349.53 54015.6 32801.7 37081.4 38979.1 43210.1
34378.8 0.00702941 3790.69 2662.16 2242.67 1445.2 51217.3 30592.6 34694.6 36522.5 40618.5
34215.4 0.00678455 3665.28 2572.69 2166.86 1395.81 52550.1 31651.9 35838.4 37699.3 41858.7
34221.8 0.00703941 3795.73 2665.8 2245.76 1447.21 51088.9 30520 34610.7 36433.6 40518.6
33602.7 0.00711325 3831.15 2691.71 2267.89 1461.82 50570.1 30170.7 34221.6 36027.8 40077.6
33864.2 0.00706591 3807.59 2674.7 2253.42 1452.35 50846.6 30357 34429.1 36244.3 40312.9
32551.5 0.00694356 3732.17 2623.88 2211.25 1425.92 50642.5 30215.3 34271 36079.4 40134.6
33388.8 0.00702144 3780.21 2656.25 2238.11 1442.75 50775.7 30307.9 34374.2 36187.1 40251
33230.5 0.007009 3771.71 2650.67 2233.53 1439.94 50707.7 30260.7 34321.6 36132.2 40191.6
33473.9 0.00705172 3795.75 2667.32 2247.49 1448.85 50633.7 30208.2 34263.9 36072.3 40127.1
33622.7 0.00708589 3815.47 2680.87 2258.82 1456.05 50524.5 30129.1 34177.8 35983.2 40031.7
33178 0.00703695 3786.58 2661.16 2242.38 1445.66 50476.9 30101.3 34146.2 35949.9 39994.5
33393.1 0.00707083 3805.25 2674.17 2253.31 1452.67 50453.7 30093.4 34135.1 35937.4 39978.9
33694.2 0.00711718 3831.73 2692.43 2268.6 1462.4 50426.5 30084.5 34123.1 35924 39962
33723.4 0.00713158 3839.65 2697.96 2273.25 1465.39 50378.2 30069 34102.4 35900.8 39932.7
34017 0.00727647 3919.36 2753.64 2320.05 1495.42 49896.9 29910.8 33893.7 35667.4 39639.2
33340 0.00725884 3906.73 2745.52 2313.43 1491.4 49314.2 29665.3 33592.6 35339.8 39248
33373.1 0.00732601 3948.3 2773.56 2336.69 1505.96 48443.3 29286.8 33133.3 34841.7 38657
33070.3 0.00747264 4025.56 2828.27 2382.91 1535.89 47736.9 28922.5 32707.4 34387.3 38136.4
34638.9 0.0078284 4226.45 2967.32 2499.44 1610.26 47008 28622.6 32333.6 33978.5 37645
33536.4 0.00758151 4086.93 2870.78 2418.54 1558.63 47505.6 28829.1 32590.4 34259.1 37981.6
33668.7 0.00763593 4117.32 2891.9 2436.26 1569.97 47285.6 28745.6 32484.6 34142.6 37839.3
31928 0.00754359 4061.29 2854.12 2404.88 1550.24 46712.9 28573.6 32250.7 33878.5 37501.4
33418.8 0.0076189 4107.01 2884.93 2430.47 1566.33 47233.9 28730.4 32463.9 34119.2 37809.2
32700.5 0.00756116 4069.94 2860.26 2410.09 1553.67 47137.1 28664.3 32391.1 34043.7 37727.8
33140.5 0.00759616 4092.45 2875.23 2422.46 1561.35 47197.3 28705.5 32436.5 34090.7 37778.5
33162.2 0.00760208 4095.39 2877.36 2424.26 1562.53 47186.6 28695.3 32425.9 34080 37767.6
33159 0.00761377 4101.29 2881.59 2427.86 1564.88 47185.4 28686.3 32417.7 34072.3 37761.3
33163.2 0.00773706 4163.92 2926.44 2465.9 1589.7 47175.1 28595.7 32334.9 33994.3 37697.2
33037.1 0.00784248 4216.24 2964.17 2497.99 1610.74 47174.5 28477 32226.7 33892.8 37615.1
33815.3 0.0081543 4374.06 3077.14 2593.83 1673.34 47621.8 28556 32352.5 34043.1 37829.4
32955.1 0.00784916 4217.76 2965.69 2499.41 1611.82 47192.9 28467.5 32220.1 33887.9 37614.9
32936.3 0.00784681 4216.47 2964.79 2498.65 1611.34 47160.8 28432 32183.6 33851.2 37578.4
32950.5 0.00784842 4217.36 2965.41 2499.17 1611.67 47183.7 28457.4 32209.8 33877.5 37604.5
32926.6 0.00785279 4219.52 2966.97 2500.5 1612.54 47168.3 28447.2 32198.5 33865.7 37591.7
32939.5 0.00786322 4224.96 2970.83 2503.76 1614.66 47135.3 28423.8 32172.7 33839 37562.9
32916.7 0.00787417 4230.48 2974.8 2507.13 1616.86 47083.9 28389.9 32134.9 33799.5 37519.9
32694.2 0.00798528 4286.58 3015.06 2541.31 1639.19 46575.4 28053.8 31760.9 33409.1 37094.2
32415.9 0.00821628 4406.74 3100.45 2613.54 1686.09 45529.2 27342.5 30974.1 32590 36205.9
31935.1 0.00852673 4563.87 3213.12 2709.15 1748.52 44255.6 26498.3 30035 31610.2 35137.9
31452.9 0.00896609 4788.27 3373.53 2845.12 1837.14 42608 25395.5 28810.8 30333.8 33749.4
31338.6 0.00907009 4840.06 3410.86 2876.86 1857.93 42283.7 25154.8 28548.3 30062.4 33459.9
31442.7 0.00897649 4793.45 3377.26 2848.3 1839.22 42575.2 25371.2 28784.2 30306.3 33720.1
31433.7 0.00898263 4796.37 3379.4 2850.12 1840.43 42560.2 25357.7 28769.9 30291.8 33705.1
31421.2 0.00899043 4800.06 3382.1 2852.44 1841.96 42546.1 25342.2 28754 30275.7 33689
31296 0.0090691 4837.15 3409.33 2875.72 1857.39 42405.5 25187.1 28593.8 30114.4 33528.2
31020.5 0.00923902 4916.9 3467.94 2925.9 1890.67 42110 24856.3 28252.6 29771.3 33186.8
30650 0.00953612 5058.08 3571.26 3014.21 1949.1 41334.7 24165.9 27519.5 29023 32413.4
30877.5 0.00935053 4969.98 3506.77 2959.07 1912.62 41812.6 24592.5 27972.4 29485.2 32890.9
30906.4 0.00932768 4959.11 3498.82 2952.28 1908.12 41872.9 24646.1 28029.3 29543.3 32951
